"runnerUri","fullname","time","rank","nationality","nationalityCode","index","ageGroup","gender"
"1355777.mikael.andersson","Mikael ANDERSSON","27:08:56",8,"Sweden","SE",,"40-44","H"
"1355779.joe.walfridson","Joe WALFRIDSON","27:08:58",9,"Sweden","SE",,"45-49","H"
"1087715.mikael.nyman","Mikael NYMAN","28:16:48",10,"Sweden","SE",,"45-49","H"
"532693.kiki.solender","Kiki SOLENDER","28:16:52",11,"Sweden","SE",,"45-49","F"
"2457303.michael.sandkvist","Michael SANDKVIST","29:08:55",12,"Sweden","SE",,"40-44","H"
"4200837.jonas.andraejohansson","Jonas ANDRAE JOHANSSON","29:36:23",13,"Sweden","SE",,"50-54","H"
"410673.fredrik.forsstrom","Fredrik FORSSTRÖM","29:40:39",14,"Sweden","SE",,"50-54","H"
"533121.sofia.kay","Sofia KAY","31:33:05",15,"Sweden","SE",,"45-49","F"
"1619677.tommy.carlsson","Tommy CARLSSON","31:33:07",16,"Sweden","SE",,"55-59","H"
"321149.andreas.noren","Andreas NOREN",,,"Sweden","SE",,"45-49","H"
"2153579.krzysztof.michalski","Krzysztof MICHALSKI",,,"Poland","PL",,"45-49","H"
"1619769.nina.rolfsdotter","Nina ROLFSDOTTER",,,"Sweden","SE",,"40-44","F"
"608843.sussi.lorinder","Sussi LORINDER",,,"Sweden","SE",,"50-54","F"
"495128.jonas.lindahl","Jonas LINDAHL",,,"Sweden","SE",,"55-59","H"
"2617961.alfred.park","Alfred PARK",,,"Sweden","SE",,"20-34","H"
"1996521.elin.ohman","Elin ÖHMAN (Elin OHMAN)",,,"Sweden","SE",,"20-34","F"
"4549412.david.landen","David LANDE’N",,,"Sweden","SE",,"35-39","H"
"4549414.marcus.folkeryd","Marcus FOLKERYD",,,"Sweden","SE",,"20-34","H"
"665723.johanna.bygdell","Johanna BYGDELL","21:41:09",1,"Sweden","SE",,"40-44","F"
"20093.johan.isaksson","Johan ISAKSSON","22:42:18",2,"Sweden","SE",,"40-44","H"
"2292399.robert.krouwel","Robert KROUWEL","23:02:50",3,"Sweden","SE",,"20-34","H"
"2194141.petter.eriksson","Petter ERIKSSON","23:09:32",4,"Sweden","SE",,"40-44","H"
"4195046.marten.vann","Mårten VÄNN","23:11:13",5,"Sweden","SE",,"20-34","H"
"1630619.maria.saxvall","Maria SAXVALL","23:50:48",6,"Sweden","SE",,"40-44","F"
"4513333.thomas.fernemar","Thomas FERNEMAR","26:37:50",7,"Sweden","SE",,"35-39","H"
"2271213.andreas.tyllsmark","Andreas TYLLSMARK","27:28:16",8,"Sweden","SE",,"50-54","H"
"861313.christer.karlsson","Christer KARLSSON","27:29:47",9,"Sweden","SE",,"50-54","H"
"587245.niclas.gallentoft","Niclas GÄLLENTOFT","27:39:10",10,"Sweden","SE",,"50-54","H"
"508271.joakim.johansson","Joakim JOHANSSON","27:42:59",11,"Sweden","SE",,"35-39","H"
"508259.kenneth.lofman","Kenneth LOFMAN","28:19:40",12,"Sweden","SE",,"45-49","H"
"19155.magnus.hjelmer","Magnus HJELMER","28:19:40",13,"Sweden","SE",,"40-44","H"
"4301449.camilla.almstedtmalmgren","Camilla ALMSTEDT MALMGREN","28:54:05",14,"Sweden","SE",,"40-44","F"
"811479.mattias.johansson","Mattias JOHANSSON","29:38:50",15,"Sweden","SE",,"40-44","H"
"2221787.josefin.forsberg","Josefin FORSBERG","32:11:46",16,"Sweden","SE",,"20-34","F"
"1279061.fredrik.palm","Fredrik PALM","32:25:15",17,"Sweden","SE",,"45-49","H"
