"id","eventName","name","category","themeColor","themeColorIsDark","logoWs","url","distance","elevationGain","hasResults","uriResults","startDate","startCountry","startPlace","year","level","nbStones"
109756,"High Coast Ultra","High Coast Ultra 130 ","100k","#7ddf65",true,"/Common/categories/qualifiers100K","http://highcoastultra.se/","129.80",3013,true,"3087.highcoastultrahighcoastultra130.2024","2024-Jun-07","SE","Hornöberget, Sweden",2024,"qualifier",0
109758,"High Coast Ultra","High Coast Ultra 60","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://highcoastultra.se/","60.00",1591,true,"39674.highcoastultrahighcoastultra60.2024","2024-Jun-08","SE","Skule, Sweden",2024,"qualifier",0
109170,"EcoTrail Stockholm","80 Km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://stockholm.ecotrail.com/","79.30",1201,true,"9019.ecotrailstockholm80km.2024","2024-Jun-15","SE","Stockholm, Sweden",2024,"qualifier",0
109172,"EcoTrail Stockholm","45 Km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://stockholm.ecotrail.com/","45.20",1040,true,"9017.ecotrailstockholm45km.2024","2024-Jun-15","SE","Stockholm, Sweden",2024,"qualifier",0
98858,"Fjällmaratonveckan Årefjällen","Fjällmaraton 100K","100k","#7ddf65",true,"/Common/categories/qualifiers100K","http://fjallmaraton.se/","99.70",3490,false,"24315.fjallmaratonveckanarefjallenfjallmaraton100k.2024","2024-Aug-01","SE","Fångåmon, Sweden",2024,"qualifier",0
101646,"Snapphaneracet","Snapphaneracet 50 Miles","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.snapphaneracet.se/","84.00",2400,false,"41632.snapphaneracetsnapphaneracet50miles.2024","2024-Aug-03","SE","Sölvesborg, Sweden",2024,"qualifier",0
101648,"Snapphaneracet","Snapphaneracet 56 km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.snapphaneracet.se/","56.00",1600,false,"41634.snapphaneracetsnapphaneracet56km.2024","2024-Aug-03","SE","Sölvesborg, Sweden",2024,"qualifier",0
98854,"Fjällmaratonveckan Årefjällen","KIA Fjällmaraton 45k","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://fjallmaraton.se/","46.30",1600,false,"3900.fjallmaratonveckanarefjallenkiafjallmaraton45k.2024","2024-Aug-03","SE","Trillevallen, Sweden",2024,"qualifier",0
98862,"Trans Scania","Trans Scania","100m","#f42525",true,"/Common/categories/qualifiers100M","http://www.transscania.se","246.90",3730,false,"759.transscaniatransscania.2024","2024-Aug-09","SE","Bjärred, Sweden",2024,"qualifier",0
109764,"Vasaloppet Ultravasan","Ultravasan 90","100k","#7ddf65",true,"/Common/categories/qualifiers100K","http://www.vasaloppet.se","92.00",905,false,"1904.vasaloppetultravasanultravasan90.2024","2024-Aug-17","SE","Sälen, Sweden",2024,"qualifier",0
109768,"Vasaloppet Ultravasan","Ultravasan 45","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://www.vasaloppet.se","44.30",580,false,"3022.vasaloppetultravasanultravasan45.2024","2024-Aug-17","SE","Oxberg, Sweden",2024,"qualifier",0
105976,"TGS - Trail Genom Skåne","TGS 50","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.sportstiming.se/event/12888","47.00",710,false,"40280.tgs-trailgenomskanetgs50.2024","2024-Aug-18","SE","Hovdala, Sweden",2024,"qualifier",0
105438,"Craft Idre Fjällmaraton","Renens Stig 45 km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://idrefjallmaraton.se","45.00",1400,false,"13015.craftidrefjallmaratonrenensstig45km.2024","2024-Aug-24","SE","Idre, Sweden",2024,"qualifier",0
98602,"Sörmlands 100","Sörmlands 100 Mile Endurance Run","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.sormlands100.com/","169.00",2542,false,"32436.sormlands100sormlands100mileendurancerun.2024","2024-Sep-13","SE","Herresta, Mariefred, Sweden",2024,"qualifier",0
98604,"Sörmlands 100","Sörmlands 100  55km Trail Ultra Marathon","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.sormlands100.com/","55.00",450,false,"36050.sormlands100sormlands10055kmtrailultramarathon.2024","2024-Sep-14","SE","Tystberga, Sweden",2024,"qualifier",0
98606,"Sörmlands 100","Sörmlands 100  100km Trail Ultra Marathon ","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.sormlands100.com/","100.00",1746,false,"32438.sormlands100sormlands100100kmtrailultramarathon.2024","2024-Sep-14","SE","Erikslund, Gnesta, Sweden",2024,"qualifier",0
107952,"Östgöta Ultra Trail","Östgöta Ultra Trail 165k","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.ostgotaultratrail.com","165.00",5100,false,"34840.ostgotaultratrailostgotaultratrail165k.2024","2024-Sep-28","SE","Kisa, Sweden",2024,"qualifier",0
107950,"Östgöta Ultra Trail","Östgöta Ultra Trail 110k","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.ostgotaultratrail.com","110.00",3400,false,"34838.ostgotaultratrailostgotaultratrail110k.2024","2024-Sep-28","SE","Kisa, Sweden",2024,"qualifier",0
107948,"Östgöta Ultra Trail","Östgöta Ultra Trail 55k","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.ostgotaultratrail.com","55.00",1700,false,"34836.ostgotaultratrailostgotaultratrail55k.2024","2024-Sep-29","SE","Kisa, Sweden",2024,"qualifier",0
107336,"Gotland Ultramarathon","Gotland Ultramarathon - GUM 50km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://gotlandultramarathon.se/","50.40",526,false,"40254.gotlandultramarathongotlandultramarathon-gum50km.2024","2024-Oct-05","SE","Hallshuk, Sweden",2024,"qualifier",0
101041,"Kullamannen by UTMB","Ultra 100 Miles","100m","#f42525",true,"/Common/categories/100M","http://kullamannen.utmb.world","161.00",2600,false,"10675.kullamannenbyutmbultra100miles.2024","2024-Nov-01","SE","Höganäs, Sweden",2024,"serie",4
